min_lon,min_lat,max_lon,max_lat,Island_Letter,Island_Number,Grid_Number,island_number
-89.73486328125,-1.4499200582504272,-89.70157295408703,-1.4168678085009256,X,1,1,3
-89.70153045654297,-1.4499200582504272,-89.66824012938,-1.4168678085009256,X,1,2,3
-89.66819763183594,-1.4499200582504272,-89.63490730467295,-1.4168678085009256,X,1,3,3
-89.63487243652344,-1.4499200582504272,-89.60158210936045,-1.4168678085009256,X,1,4,3
-89.7681884765625,-1.4165899753570557,-89.73489814939953,-1.383537725607554,X,1,5,3
-89.73486328125,-1.4165899753570557,-89.70157295408703,-1.383537725607554,X,1,6,3
-89.63487243652344,-1.4165899753570557,-89.60158210936045,-1.383537725607554,X,1,7,3
-90.53478240966795,-1.3832600116729736,-90.501492082505,-1.350207761923472,X,1,8,2
-90.50144958496094,-1.3832600116729736,-90.46815925779795,-1.350207761923472,X,1,9,2
-90.4681167602539,-1.3832600116729736,-90.43482643309092,-1.350207761923472,X,1,10,2
-90.4347915649414,-1.3832600116729736,-90.40150123777843,-1.350207761923472,X,1,11,2
-90.40145874023438,-1.3832600116729736,-90.3681684130714,-1.350207761923472,X,1,12,2
-89.7681884765625,-1.3832600116729736,-89.73489814939953,-1.350207761923472,X,1,13,3
-89.63487243652344,-1.3832600116729736,-89.60158210936045,-1.350207761923472,X,1,14,3
-90.53478240966795,-1.3499300479888916,-90.501492082505,-1.31687779823939,X,1,15,2
-90.40145874023438,-1.3499300479888916,-90.3681684130714,-1.31687779823939,X,1,16,2
-90.36813354492188,-1.3499300479888916,-90.3348432177589,-1.31687779823939,X,1,17,2
-89.7681884765625,-1.3499300479888916,-89.73489814939953,-1.31687779823939,X,1,18,3
-89.73486328125,-1.3499300479888916,-89.70157295408703,-1.31687779823939,X,1,19,3
-89.70153045654297,-1.3499300479888916,-89.66824012938,-1.31687779823939,X,1,20,3
-89.66819763183594,-1.3499300479888916,-89.63490730467295,-1.31687779823939,X,1,21,3
-89.63487243652344,-1.3499300479888916,-89.60158210936045,-1.31687779823939,X,1,22,3
-90.53478240966795,-1.31659996509552,-90.501492082505,-1.2835477153460184,X,1,23,2
-90.36813354492188,-1.31659996509552,-90.3348432177589,-1.2835477153460184,X,1,24,2
-90.53478240966795,-1.283270001411438,-90.501492082505,-1.2502177516619364,X,1,25,2
-90.36813354492188,-1.283270001411438,-90.3348432177589,-1.2502177516619364,X,1,26,2
-90.53478240966795,-1.249940037727356,-90.501492082505,-1.2168877879778544,X,1,27,2
-90.50144958496094,-1.249940037727356,-90.46815925779795,-1.2168877879778544,X,1,28,2
-90.40145874023438,-1.249940037727356,-90.3681684130714,-1.2168877879778544,X,1,29,2
-90.36813354492188,-1.249940037727356,-90.3348432177589,-1.2168877879778544,X,1,30,2
-90.50144958496094,-1.2166099548339844,-90.46815925779795,-1.1835577050844828,X,1,31,2
-90.4681167602539,-1.2166099548339844,-90.43482643309092,-1.1835577050844828,X,1,32,2
-90.4347915649414,-1.2166099548339844,-90.40150123777843,-1.1835577050844828,X,1,33,2
-90.40145874023438,-1.2166099548339844,-90.3681684130714,-1.1835577050844828,X,1,34,2
-91.2680435180664,-1.0832899808883667,-91.23475319090343,-1.050237731138865,X,1,35,1
-91.23471069335938,-1.0832899808883667,-91.2014203661964,-1.050237731138865,X,1,36,1
-91.20137786865234,-1.0832899808883667,-91.16808754148936,-1.050237731138865,X,1,37,1
-91.16805267333984,-1.0832899808883667,-91.13476234617687,-1.050237731138865,X,1,38,1
-91.1347198486328,-1.0832899808883667,-91.10142952146984,-1.050237731138865,X,1,39,1
-91.468017578125,-1.049960017204285,-91.43472725096204,-1.016907767454783,X,1,40,1
-91.4346923828125,-1.049960017204285,-91.40140205564951,-1.016907767454783,X,1,41,1
-91.40135955810548,-1.049960017204285,-91.3680692309425,-1.016907767454783,X,1,42,1
-91.36802673339844,-1.049960017204285,-91.33473640623545,-1.016907767454783,X,1,43,1
-91.33470153808594,-1.049960017204285,-91.30141121092295,-1.016907767454783,X,1,44,1
-91.3013687133789,-1.049960017204285,-91.26807838621592,-1.016907767454783,X,1,45,1
-91.2680435180664,-1.049960017204285,-91.23475319090343,-1.016907767454783,X,1,46,1
-91.1347198486328,-1.049960017204285,-91.10142952146984,-1.016907767454783,X,1,47,1
-91.10138702392578,-1.049960017204285,-91.0680966967628,-1.016907767454783,X,1,48,1
-91.06806182861328,-1.049960017204285,-91.03477150145031,-1.016907767454783,X,1,49,1
-91.50135040283205,-1.0166300535202026,-91.46806007566906,-0.983577803770701,X,1,50,1
-91.468017578125,-1.0166300535202026,-91.43472725096204,-0.983577803770701,X,1,51,1
-91.06806182861328,-1.0166300535202026,-91.03477150145031,-0.983577803770701,X,1,52,1
-91.03472900390624,-1.0166300535202026,-91.00143867674328,-0.983577803770701,X,1,53,1
-91.00140380859376,-1.0166300535202026,-90.96811348143078,-0.983577803770701,X,1,54,1
-91.53468322753906,-0.9832999706268308,-91.50139290037608,-0.9502477208773294,X,1,55,1
-91.50135040283205,-0.9832999706268308,-91.46806007566906,-0.9502477208773294,X,1,56,1
-91.00140380859376,-0.9832999706268308,-90.96811348143078,-0.9502477208773294,X,1,57,1
-90.96807098388672,-0.9832999706268308,-90.93478065672376,-0.9502477208773294,X,1,58,1
-90.93473815917969,-0.9832999706268308,-90.90144783201671,-0.9502477208773294,X,1,59,1
-90.9014129638672,-0.9832999706268308,-90.8681226367042,-0.9502477208773294,X,1,60,1
-89.63487243652344,-0.9832999706268308,-89.60158210936045,-0.9502477208773294,X,1,61,6
-89.6015396118164,-0.9832999706268308,-89.56824928465343,-0.9502477208773294,X,1,62,6
-89.56820678710938,-0.9832999706268308,-89.5349164599464,-0.9502477208773294,X,1,63,6
-89.53488159179688,-0.9832999706268308,-89.5015912646339,-0.9502477208773294,X,1,64,6
-89.50154876708984,-0.9832999706268308,-89.46825843992687,-0.9502477208773294,X,1,65,6
-89.46822357177734,-0.9832999706268308,-89.43493324461437,-0.9502477208773294,X,1,66,6
-89.43489074707031,-0.9832999706268308,-89.40160041990734,-0.9502477208773294,X,1,67,6
-91.53468322753906,-0.9499700069427488,-91.50139290037608,-0.9169177571932474,X,1,68,1
-90.9014129638672,-0.9499700069427488,-90.8681226367042,-0.9169177571932474,X,1,69,1
-90.86808013916016,-0.9499700069427488,-90.83478981199718,-0.9169177571932474,X,1,70,1
-90.83474731445312,-0.9499700069427488,-90.80145698729015,-0.9169177571932474,X,1,71,1
-89.66819763183594,-0.9499700069427488,-89.63490730467295,-0.9169177571932474,X,1,72,6
-89.63487243652344,-0.9499700069427488,-89.60158210936045,-0.9169177571932474,X,1,73,6
-89.43489074707031,-0.9499700069427488,-89.40160041990734,-0.9169177571932474,X,1,74,6
-89.40155792236328,-0.9499700069427488,-89.36826759520031,-0.9169177571932474,X,1,75,6
-91.53468322753906,-0.916639983654022,-91.50139290037608,-0.8835877339045206,X,1,76,1
-90.83474731445312,-0.916639983654022,-90.80145698729015,-0.8835877339045206,X,1,77,1
-89.66819763183594,-0.916639983654022,-89.63490730467295,-0.8835877339045206,X,1,78,6
-89.40155792236328,-0.916639983654022,-89.36826759520031,-0.8835877339045206,X,1,79,6
-89.36823272705078,-0.916639983654022,-89.33494239988781,-0.8835877339045206,X,1,80,6
-91.53468322753906,-0.8833100199699401,-91.50139290037608,-0.8502577702204386,X,1,81,1
-90.83474731445312,-0.8833100199699401,-90.80145698729015,-0.8502577702204386,X,1,82,1
-90.10148620605469,-0.8833100199699401,-90.0681958788917,-0.8502577702204386,X,1,83,5
-90.06816101074219,-0.8833100199699401,-90.0348706835792,-0.8502577702204386,X,1,84,5
-90.03482818603516,-0.8833100199699401,-90.00153785887218,-0.8502577702204386,X,1,85,5
-89.66819763183594,-0.8833100199699401,-89.63490730467295,-0.8502577702204386,X,1,86,6
-89.63487243652344,-0.8833100199699401,-89.60158210936045,-0.8502577702204386,X,1,87,6
-89.6015396118164,-0.8833100199699401,-89.56824928465343,-0.8502577702204386,X,1,88,6
-89.36823272705078,-0.8833100199699401,-89.33494239988781,-0.8502577702204386,X,1,89,6
-91.53468322753906,-0.8499799966812133,-91.50139290037608,-0.8169277469317118,X,1,90,1
